,DOI,isotherm_file,temp_C,adsorbent,CO2_capacity (mmol/g)
449,10.1002/Cjce.20700,10.1002Cjce.20700.Isotherm2.json,25,IRMOF-1,0.03483454061931876
450,10.1002/cphc.201200243,10.1002cphc.201200243.isotherm1a.json,-30,FMOF-2,0.16849868476207253
451,10.1002/cphc.201200243,10.1002cphc.201200243.isotherm1b.json,-10,FMOF-2,0.10411935341794452
452,10.1002/cphc.201200243,10.1002cphc.201200243.isotherm1c.json,10,FMOF-2,0.06760202384292943
453,10.1002/cphc.201200243,10.1002cphc.201200243.isotherm1d.json,20,FMOF-2,0.05001929535783198
454,10.1002/cphc.201200243,10.1002cphc.201200243.isotherm2a.json,20,FMOF-2,0.021527732757341024
455,10.1002/cphc.201200243,10.1002cphc.201200243.isotherm2b.json,20,FMOF-2,0.023218582521239588
456,10.1002/cphc.201200243,10.1002cphc.201200243.isotherm3a.json,20,FMOF-2,0.011499375303671826
457,10.1002/cphc.201200243,10.1002cphc.201200243.isotherm3b.json,20,FMOF-2,0.014414068051202671
458,10.1002/cphc.201200243,10.1002cphc.201200243.isotherm3c.json,20,FMOF-2,0.03842011580747117
459,10.1002/cphc.201402865,10.1002cphc.201402865.Isotherm1.json,-175,PEI(aq) with M.W. 10000,7.188678274111675
460,10.1002/cphc.201402865,10.1002cphc.201402865.Isotherm2.json,-175,PEI(aq) with M.W. 600,8.417101889534884
461,10.1002/cphc.201402865,10.1002cphc.201402865.Isotherm3.json,-175,PEI(aq) with M.W. 1800,7.870308759124088
462,10.1002/cplu.201200270,10.1002cplu.201200270.Isotherm1.json,0,[Zn2(CN5H2)3(H2O)3]6H2O,0.27657903982635984
463,10.1002/cplu.201200270,10.1002cplu.201200270.Isotherm10.json,0,[Zn2(CN5H2)3(H2O)3]6H2O TMC,0.4197963523062996
464,10.1002/cplu.201200270,10.1002cplu.201200270.Isotherm11.json,15,[Zn2(CN5H2)3(H2O)3]6H2O TMC,0.21466960813687372
465,10.1002/cplu.201200270,10.1002cplu.201200270.Isotherm12.json,25,[Zn2(CN5H2)3(H2O)3]6H2O TMC,0.23852443293904824
466,10.1002/cplu.201200270,10.1002cplu.201200270.Isotherm13.json,50,[Zn2(CN5H2)3(H2O)3]6H2O TMC,0.10767661258694418
467,10.1002/cplu.201200270,10.1002cplu.201200270.Isotherm4.json,0,[Zn2(CN5H2)3(H2O)3]6H2O Ac,0.5063135320350916
468,10.1002/cplu.201200270,10.1002cplu.201200270.Isotherm7.json,0,[Zn2(CN5H2)3(H2O)3]6H2O TMC,0.4462398068199564
472,10.1002/cssc.201000080,10.1002cssc.201000080.isotherm1.json,25,Bio-MOF-11,0.3834857804761144
473,10.1002/cssc.201000080,10.1002cssc.201000080.isotherm11.json,25,Bio-MOF-11,0.09029069235820746
474,10.1002/cssc.201000080,10.1002cssc.201000080.isotherm12.json,25,Bio-MOF-11,0.0570597891138431
475,10.1002/cssc.201000080,10.1002cssc.201000080.isotherm2.json,25,Bio-MOF-11,0.2933237001953386
476,10.1002/cssc.201000080,10.1002cssc.201000080.isotherm7.json,25,Bio-MOF-11,0.027223099528346284
477,10.1002/cssc.201000080,10.1002cssc.201000080.isotherm8.json,25,Bio-MOF-11,0.034595721014059125
478,10.1002/cssc.201100378,10.1002cssc.201100378.Isotherm1.json,10,NH2-MIL-53(Al),0.43431117577521144
494,10.1002/cssc.201200907,10.1002cssc.201200907.isotherm12.json,0,M-DNL-6,1.7024430683421476
495,10.1002/cssc.201200907,10.1002cssc.201200907.isotherm13.json,25,M-DNL-6,0.7732572708303546
496,10.1002/cssc.201200907,10.1002cssc.201200907.isotherm14.json,40,M-DNL-6,0.4962902842426975
497,10.1002/cssc.201200907,10.1002cssc.201200907.isotherm2.json,25,M-DNL-6,0.8153454383792804
498,10.1002/cssc.201200907,10.1002cssc.201200907.isotherm3.json,25,Zeolite Na-A,3.0819078055139344
499,10.1002/cssc.201200907,10.1002cssc.201200907.isotherm4.json,25,L-DNL-6,0.7049845384318387
500,10.1002/cssc.201200907,10.1002cssc.201200907.isotherm5.json,25,SAPO-34,0.495942
501,10.1002/cssc.201200907,10.1002cssc.201200907.isotherm6.json,25,H-DNL-6,0.4834815159774071
543,10.1002/ente.201600688,10.1002ente.201600688.Isotherm3.json,50,Zeolite 13X,0.05070218590398365
544,10.1002/ente.201600688,10.1002ente.201600688.Isotherm4.json,50,Zeolite 13X,0.0326964589962024
545,10.1002/ente.201600688,10.1002ente.201600688.Isotherm5.json,50,Zeolite 13X,0.0836158639105924
550,10.1002/ep.10169,10.1002ep.10169.Isotherm2.json,45,Sulcis coal,0.00928
551,10.1002/ep.10169,10.1002ep.10169.Isotherm3.json,60,Sulcis coal,0.00496
564,10.1002/marc.201300328,10.1002marc.201300328.isotherm3.json,0,O-TTPP,0.21760558345614892
565,10.1002/marc.201300328,10.1002marc.201300328.isotherm4.json,0,S-TTPP,0.16190072131776068
566,10.1002/marc.201300328,10.1002marc.201300328.isotherm5.json,25,O-TTPP,0.09492609393181739
567,10.1002/marc.201300328,10.1002marc.201300328.isotherm6.json,25,S-TTPP,0.05530965817725547
578,10.1007/s00894-010-0720-x,10.1007s00894-010-0720-x.Isotherm1.json,25,CuBTC,0.09267034174166307
579,10.1007/s00894-010-0720-x,10.1007s00894-010-0720-x.Isotherm1-1.json,25,CuBTC,0.2337026298344414
580,10.1007/s00894-010-0720-x,10.1007s00894-010-0720-x.Isotherm2.json,25,CuBTC,0.09267034174166307
581,10.1007/s00894-010-0720-x,10.1007s00894-010-0720-x.Isotherm3.json,25,IRMOF-1,0.2836224845992735
